ZoneId,MetricName,MetricValue,Timestamp
1,temperature,-0.7985071255349538,2024-03-30 01:59:29.203878
1,moisture,0.9395771416207712,2024-03-30 01:59:29.203878
1,temperature,29.908157845593244,2024-03-30 01:59:59.210110
1,moisture,0.9451192301650044,2024-03-30 01:59:59.210110
1,temperature,-5.06,2024-03-30 02:00:05.737100
1,moisture,0.91,2024-03-30 02:00:05.737100
1,temperature,28.82,2024-03-30 02:00:35.742692
1,moisture,0.81,2024-03-30 02:00:35.742692
1,temperature,40,2024-03-30 02:01:05.746794
1,moisture,0.83,2024-03-30 02:01:05.746794
1,temperature,2.91,2024-03-30 10:21:32.918492
1,moisture,0.42,2024-03-30 10:21:32.918492
1,temperature,-0.48,2024-03-30 10:22:02.893980
1,moisture,0.02,2024-03-30 10:22:02.893980
1,temperature,30.16,2024-03-30 10:22:32.915431
1,moisture,0.39,2024-03-30 10:22:32.915431
1,temperature,-6.22,2024-03-30 10:23:02.921822
1,moisture,0.51,2024-03-30 10:23:02.921822
1,temperature,-1.46,2024-03-30 10:23:32.913100
1,moisture,0.74,2024-03-30 10:23:32.913100
1,temperature,17.28,2024-03-30 10:24:02.932169
1,moisture,0.07,2024-03-30 10:24:02.932169
1,temperature,-3.74,2024-03-30 10:24:32.939776
1,moisture,0.37,2024-03-30 10:24:32.939776
1,temperature,28.37,2024-03-30 10:25:02.954784
1,moisture,0.55,2024-03-30 10:25:02.954784
1,temperature,24.57,2024-03-30 10:25:32.964485
1,moisture,0.01,2024-03-30 10:25:32.964485
1,temperature,28.6,2024-03-30 10:26:02.966427
1,moisture,0.66,2024-03-30 10:26:02.966427
1,temperature,5.54,2024-03-30 10:26:32.989721
1,moisture,0.99,2024-03-30 10:26:32.989721
1,temperature,-8.62,2024-03-30 10:27:03.003769
1,moisture,0.42,2024-03-30 10:27:03.003769
1,temperature,15.45,2024-03-30 10:27:33.007006
1,moisture,0.01,2024-03-30 10:27:33.007006
1,temperature,-1.82,2024-03-30 10:28:03.016849
1,moisture,0.38,2024-03-30 10:28:03.016849
1,temperature,-1.65,2024-03-30 10:28:33.026227
1,moisture,0.18,2024-03-30 10:28:33.026227
1,temperature,17.16,2024-03-30 10:29:03.026861
1,moisture,0.99,2024-03-30 10:29:03.026861
1,temperature,16.88,2024-03-30 10:29:33.023116
1,moisture,0.38,2024-03-30 10:29:33.023116
1,temperature,3.58,2024-03-30 10:30:03.032598
1,moisture,0.29,2024-03-30 10:30:03.032598
1,temperature,-7.46,2024-03-30 10:30:33.048366
1,moisture,0.29,2024-03-30 10:30:33.048366
1,temperature,-4.31,2024-03-30 10:31:03.060216
1,moisture,0.39,2024-03-30 10:31:03.060216
1,temperature,1.19,2024-03-30 10:31:33.068074
1,moisture,0.02,2024-03-30 10:31:33.068074
1,temperature,24.26,2024-03-30 10:32:03.076485
1,moisture,0.93,2024-03-30 10:32:03.076485
1,temperature,22.43,2024-03-30 10:32:33.081721
1,moisture,0.21,2024-03-30 10:32:33.081721
1,temperature,16.25,2024-03-30 10:33:03.081981
1,moisture,0.23,2024-03-30 10:33:03.081981
1,temperature,18.63,2024-03-30 10:33:33.098783
1,moisture,0.73,2024-03-30 10:33:33.098783
1,temperature,-6.38,2024-03-30 10:34:03.107634
1,moisture,1.0,2024-03-30 10:34:03.107634
1,temperature,31.03,2024-03-30 10:34:33.112951
1,moisture,0.13,2024-03-30 10:34:33.112951
1,temperature,18.77,2024-03-30 10:35:03.132834
1,moisture,0.34,2024-03-30 10:35:03.132834
1,temperature,20.46,2024-03-30 10:35:33.145885
1,moisture,0.82,2024-03-30 10:35:33.145885
1,temperature,-5.03,2024-03-30 10:36:03.165325
1,moisture,0.31,2024-03-30 10:36:03.165325
1,temperature,-5.91,2024-03-30 10:36:33.162859
1,moisture,0.1,2024-03-30 10:36:33.162859
1,temperature,21.11,2024-03-30 10:37:03.185031
1,moisture,0.27,2024-03-30 10:37:03.185031
1,temperature,10.6,2024-03-30 10:37:33.197148
1,moisture,0.68,2024-03-30 10:37:33.197148
1,temperature,25.39,2024-03-30 10:38:03.208211
1,moisture,0.06,2024-03-30 10:38:03.208211
1,temperature,29.08,2024-03-30 10:38:33.211299
1,moisture,0.71,2024-03-30 10:38:33.211299
1,temperature,7.87,2024-03-30 10:39:03.209184
1,moisture,0.42,2024-03-30 10:39:03.209184
1,temperature,10.98,2024-03-30 10:39:33.222539
1,moisture,0.62,2024-03-30 10:39:33.222539
1,temperature,22.2,2024-03-30 10:40:03.232425
1,moisture,0.7,2024-03-30 10:40:03.232425
1,temperature,1.23,2024-03-30 10:40:33.232216
1,moisture,0.66,2024-03-30 10:40:33.232216
1,temperature,33.66,2024-03-30 10:41:03.226977
1,moisture,0.26,2024-03-30 10:41:03.226977
1,temperature,25.5,2024-03-30 10:41:33.232070
1,moisture,0.44,2024-03-30 10:41:33.232070
1,temperature,25.68,2024-03-30 10:42:03.237679
1,moisture,0.7,2024-03-30 10:42:03.237679
1,temperature,25.18,2024-03-30 10:42:33.238193
1,moisture,0.78,2024-03-30 10:42:33.238193
1,temperature,3.44,2024-03-30 10:43:03.238900
1,moisture,0.51,2024-03-30 10:43:03.238900
1,temperature,0.35,2024-03-30 10:43:33.251620
1,moisture,0.17,2024-03-30 10:43:33.251620
1,temperature,-7.0,2024-03-30 10:44:03.269354
1,moisture,0.94,2024-03-30 10:44:03.269354
1,temperature,8.99,2024-03-30 10:44:33.268697
1,moisture,0.93,2024-03-30 10:44:33.268697
1,temperature,-3.79,2024-03-30 10:45:03.273406
1,moisture,0.09,2024-03-30 10:45:03.273406
1,temperature,24.34,2024-03-30 10:45:33.273089
1,moisture,0.91,2024-03-30 10:45:33.273089
1,temperature,-9.97,2024-03-30 10:46:03.283342
1,moisture,0.05,2024-03-30 10:46:03.283342
1,temperature,16.21,2024-03-30 10:46:33.288932
1,moisture,0.44,2024-03-30 10:46:33.288932
1,temperature,5.81,2024-03-30 10:47:03.293781
1,moisture,0.69,2024-03-30 10:47:03.293781
1,temperature,1.63,2024-03-30 10:47:33.300517
1,moisture,0.74,2024-03-30 10:47:33.300517
1,temperature,0.7,2024-03-30 10:48:03.306988
1,moisture,0.32,2024-03-30 10:48:03.306988
1,temperature,21.09,2024-03-30 10:48:33.314999
1,moisture,0.69,2024-03-30 10:48:33.314999
1,temperature,0.1,2024-03-30 10:49:03.338424
1,moisture,0.44,2024-03-30 10:49:03.338424
1,temperature,24.64,2024-03-30 10:49:33.341600
1,moisture,0.82,2024-03-30 10:49:33.341600
1,temperature,7.54,2024-03-30 10:50:03.329342
1,moisture,0.87,2024-03-30 10:50:03.329342
1,temperature,14.45,2024-03-30 10:50:33.333976
1,moisture,0.66,2024-03-30 10:50:33.333976
1,temperature,28.11,2024-03-30 10:51:03.348869
1,moisture,0.73,2024-03-30 10:51:03.348869
